ID	SAM_mean	YIN_mean	MIN_mean	YNO_mean	MNO_mean
PH01000000G0240	0.13	0.11	0.11	1.53	0.33
PH01000000G0290	53.57	63.15	8.41	67.03	19.03
PH01000000G0330	7.19	5.65	1.01	6.29	5.17
PH01000000G0350	2.76	1.75	2.6	4.3	1
PH01000000G0410	12	7.83	3.38	17.15	8.46
PH01000000G0480	1.48	2.69	3.86	1.95	2.17
PH01000000G0500	0.38	3.1	1.53	2.15	1.12
PH01000000G0540	0.58	2.11	1.61	1.88	2.23
PH01000000G0550	1.18	1.19	0.25	0.76	1.48
PH01000000G0560	2.16	1.46	3.13	1.98	4.15
PH01000000G0600	7.4	3.98	8.82	8.89	7.75
PH01000000G0670	15.28	11.47	9.04	7.52	17.72
PH01000000G0700	5.23	6.03	8.28	1.19	4.52
PH01000000G0710	2.24	1.69	1.6	2.3	4.34
PH01000000G0720	0.84	0.63	0.61	0.39	0.48
PH01000000G0800	0.29	0.28	0.35	0.21	0.29
PH01000000G0910	0.44	0.54	0.16	1.02	0.5
PH01000000G0920	1.25	1.12	0.52	1.77	1.5
PH01000000G0960	209.57	214.28	157.42	71.5	10.42
PH01000000G0970	8.01	12.93	7.3	4.36	10.01
PH01000000G0980	115.33	61.39	32.59	24.57	17.73
PH01000000G1020	0.14	0.43	0.84	0.1	0.14
PH01000000G1160	0.46	0.32	1.08	0.64	0.86
PH01000000G1200	16.27	17.93	41.16	20.66	37.7
PH01000000G1220	317.36	191.19	205.1	120.29	347.35
PH01000000G1330	2.92	1.76	1.19	2.15	0.84
PH01000000G1400	3.4	1.44	1.01	3.68	1.28
PH01000000G1500	4.53	1.86	6.58	1.88	5.53
PH01000000G1660	0.74	1.7	2.13	1.92	1.98
PH01000000G1710	3.71	3.49	2.43	5.11	3.67
PH01000000G1840	0.46	0.81	1.02	0.56	0.28
PH01000000G1880	0.41	0.32	0.13	1.04	0.24
PH01000000G1990	1.72	8.27	17.28	5.43	5.96
PH01000000G2000	22.93	15.28	10.17	16.16	29.39
PH01000000G2050	2.26	3.05	3.49	0.66	4.2
PH01000000G2070	2.28	0.74	0.65	0.26	2.68
PH01000000G2120	1.74	3.86	18.2	10.31	12.02
PH01000000G2180	0.36	1.18	1.08	1.83	3.88
PH01000000G2190	4.93	2.5	8.64	2	5.14
PH01000000G2220	3.17	1.4	0.56	0.37	2.32
PH01000000G2240	2.42	0.89	0.75	0	0.79
PH01000000G2260	9.57	6.08	6.88	5.42	4.94
PH01000000G2270	10.26	3.77	2.8	3.05	0.31
PH01000000G2350	4.28	2.66	1.77	1.52	0.88
PH01000000G2440	15.67	10.21	5.55	5.7	2.37
PH01000000G2470	0.93	1.95	1.78	3.06	3.1
PH01000000G2540	0.19	0.16	0.28	0.66	1.15
PH01000000G2620	2	1.38	1.75	4.8	2.06
PH01000000G2700	1.39	2.45	5.15	7.35	14.93
PH01000000G2740	0.3	0.71	4.8	1.84	3.95
PH01000000G2820	4.73	3.3	5.54	3.9	6.98
PH01000000G2960	0.46	0.84	1.62	1.75	1.35
PH01000000G2970	5.9	1.47	7.74	4.41	10.59
PH01000000G3110	0.52	0.44	4.11	6.75	0.72
PH01000000G3250	8.21	10.8	10.77	13.19	13.96
PH01000000G3310	1.05	0.95	2.61	2.97	7.64
PH01000000G3540	1.65	0.63	0.88	0.54	1.43
PH01000000G3550	0.45	0.49	1.28	2.06	0.34
PH01000000G3700	2.24	3.14	6.69	4	11.11
PH01000000G3760	0.98	0.82	0.57	1.1	0.4
PH01000000G3800	2.68	3.26	4.41	3.33	5.91
PH01000000G3890	0.91	1.15	5.03	1.13	0.41
PH01000000G4160	4.07	3.18	2.12	1.49	1.32
PH01000000G4340	2.43	1.76	2.42	0.78	2.09
PH01000000G4350	2.03	1.14	1.12	2.05	1.48
PH01000000G4360	3.29	2.26	1.54	3.4	1.43
PH01000000G4400	5.19	2.93	1.58	3.97	2.56
PH01000000G4410	2.61	3.88	2.1	1.1	0.15
PH01000000G4500	14.89	4.41	7.9	6.16	8.63
PH01000000G4530	2.14	1.45	0.83	3.43	5.02
PH01000000G4660	2.3	1.4	0.91	0.41	1.31
PH01000000G4700	2.32	1.47	1.75	1.58	2.13
PH01000000G4870	42.01	57.99	9.24	66.24	13.22
PH01000000G4910	1.59	7.65	11.31	7.64	10.61
PH01000000G4920	87.33	58.32	15.24	33.22	103.92
PH01000000G4930	2.68	3.68	3.41	2.23	1.75
PH01000000G5090	2.85	1.42	1.56	2.03	2.24
PH01000000G5110	12.58	7.87	6.92	3.78	5.59
PH01000000G5130	2.19	1.09	1.71	1.76	1.44
PH01000000G5190	0.55	0.54	1.33	0.92	1.67
PH01000000G5200	1.33	1.05	1.77	0.36	2.87
PH01000000G5370	6.14	3.59	8.86	2.13	15.01
PH01000000G5430	21.49	10.58	29.32	10.66	37.3
PH01000000G5490	0.4	1.06	0.41	0.41	0.82
PH01000000G5570	18.78	15.86	13.78	8.1	12.1
PH01000000G5630	1.23	1.18	1.95	0.76	1.02
PH01000000G5690	1.03	1.56	2.42	1.97	4.63
PH01000000G5700	2.53	3.15	5.98	4.37	3.5
PH01000000G5710	13.7	5.2	4.14	7.68	0.62
PH01000000G5760	1.02	1.68	2.43	0.65	4.78
PH01000000G5850	0.96	0.76	0.98	0.88	1.49
PH01000000G5860	1.99	0.38	0.59	1.6	0.16
PH01000000G5980	3.16	2.44	1.82	2.27	2.2
PH01000000G6020	145.85	136.32	185.42	170.48	408.84
PH01000000G6060	1.84	1.27	1.09	0.8	0
PH01000000G6090	0.64	0.09	0.14	0.53	0.04
PH01000000G6400	1.59	1.98	2.38	9.51	2.35
PH01000000G6460	4.22	5.48	2.02	4.89	6.53
PH01000000G6470	287.46	53.9	90.28	128.1	131.87
PH01000000G6760	11.19	10.19	12.7	13.87	17.05
PH01000000G7010	0.51	0.13	0.64	0.12	0
PH01000000G7040	1.65	1.11	0.75	4.95	0.43
PH01000000G7050	174	65.24	33.99	306.88	30.6
PH01000000G7120	5.96	5.26	1.77	3.84	3.38
PH01000000G7190	2.4	2.26	8.4	2.51	9.06
PH01000000G7210	2.42	6.42	24.37	10.17	31.37
PH01000000G7300	0.26	3.56	11.75	8.89	15.78
PH01000000G7320	0.1	1.98	5.92	4.3	8.72
PH01000000G7400	4.21	2.75	2.84	2.73	2.06
PH01000000G7460	16.97	9.33	17.08	94.92	187.36
PH01000001G0110	8.83	11.31	3.08	19.02	5.53
PH01000001G0130	0.65	0.32	0.86	1.68	0.66
PH01000001G0140	3.65	9.73	2.28	7.19	1.75
PH01000001G0190	1.67	0.72	2.15	0.88	0.72
PH01000001G0200	2.32	1.19	0.88	2.69	2.35
PH01000001G0390	0.43	0.44	0.36	1.8	1.82
PH01000001G0500	0.62	0.73	2.6	1.87	1.1
PH01000001G0670	0.8	0.96	2.19	0.56	2.75
PH01000001G0700	2.33	3.86	1.82	2.49	5.23
PH01000001G0710	3.59	3.85	1.48	2.29	2.75
PH01000001G0720	0.97	0.92	0.9	0.94	0.86
PH01000001G0800	7.57	4.88	6.91	8.72	2.99
PH01000001G0820	50.98	49.94	20.2	53.26	21.82
PH01000001G0880	0.82	0.38	1.49	0.28	2.05
PH01000001G0950	7.81	7.07	1.85	9.38	9.02
PH01000001G1270	12.31	7.07	13.59	12.17	10.09
PH01000001G1290	19.14	11.91	22.01	29.97	25.56
PH01000001G1300	0.61	0.29	1.52	2.08	3.24
PH01000001G1450	0.82	0.46	0.54	0.52	0.7
PH01000001G1650	2.36	4.09	0.81	0.18	0
PH01000001G1780	1.23	2.35	3.19	1.67	3.61
PH01000001G1810	18.91	8.76	9.06	14.11	3.18
PH01000001G1870	0.03	0.32	0.69	0.3	0.63
PH01000001G1880	1.04	1.48	1.02	0.57	0.46
PH01000001G1960	6.18	2.1	2.87	3.24	2.32
PH01000001G2010	8.58	13.03	17.04	18.07	46.3
PH01000001G2030	164.62	50.56	35.44	192.73	43.39
PH01000001G2110	4.89	2.9	2.89	5.47	4.46
PH01000001G2130	0.78	0.83	1.59	16.52	36.04
PH01000001G2300	1.2	0.84	1.73	0.42	0.09
PH01000001G2310	0.69	1.26	0.45	4.4	16.37
PH01000001G2410	152.85	54.12	103.73	94.33	132.61
PH01000001G2510	0.34	2.26	8.69	2.74	0.97
PH01000001G2560	7.6	9.63	4.24	6.56	8.85
PH01000001G2570	14.41	12.2	9.88	4.87	21.82
PH01000001G2580	87.93	95.83	68.49	70.12	19.66
PH01000001G2590	1.05	1.81	2.19	1.26	0.65
PH01000001G2600	2.37	3.65	3.79	3.52	6.18
PH01000001G2610	12.55	12.05	46.22	46.21	144.82
PH01000001G2640	3.26	2.16	2.48	4.32	3.03
PH01000001G2800	2.46	1.15	1.65	1.33	1.3
PH01000001G2850	2.13	1.62	3.73	3.43	4.51
PH01000001G2860	5.39	2.49	1.34	1.88	0.27
PH01000001G2870	1.17	0.71	0.19	0.08	0
PH01000001G2930	7.1	3.98	0.71	1.29	4.49
PH01000001G2940	2.68	3.12	1.94	3.72	3.71
PH01000001G3120	3.58	1.38	8.02	2.82	5.55
PH01000001G3180	1.02	0.57	0.4	1.12	0.17
PH01000001G3190	0.3	0.39	0.36	1.12	1.53
PH01000001G3200	5.52	1.8	4.04	3.17	2.96
PH01000001G3260	7.62	2.48	17.42	13.88	27.82
PH01000001G3290	7.99	15.22	27.02	5.14	14.32
PH01000001G3350	1.21	2.09	0.69	1.7	1.17
PH01000001G3420	1.76	2.76	2.33	3.24	1.1
PH01000001G3470	8.67	8.07	10.76	2.83	3.69
PH01000001G3500	11.89	13.59	11.8	4.86	8.76
PH01000001G3600	0.39	0.73	0.88	2.57	2.14
PH01000001G3620	10.83	5.72	3.08	1.95	0.75
PH01000001G3650	3.64	2.66	2.57	2.63	2.63
PH01000001G4030	0.7	0.18	1.53	0.82	0.32
PH01000001G4050	3.62	2.05	1.52	0.43	0.75
PH01000001G4440	5.03	1.57	3.05	3.96	5.33
PH01000001G4450	3.61	1.42	1.34	6.16	4.41
PH01000001G4480	5.99	2.12	1.57	2.67	2.22
PH01000001G4490	0.39	0.72	0.67	0.31	0.4
PH01000001G4520	2.59	3.71	5.73	4.47	6.55
PH01000001G4680	5.14	1.06	1.33	1.29	2.89
PH01000001G4970	2.45	2.5	2.84	3.75	1.41
PH01000001G4990	0.51	0.81	0.68	0.44	1.05
PH01000001G5000	0.79	1.31	9.88	6.33	51.47
PH01000001G5130	0.17	0.11	0.43	0.16	0.09
PH01000001G5360	21.72	3.62	16.84	38.26	10.73
PH01000002G0050	77.45	53.16	44.08	40.27	29.95
PH01000002G0130	1.13	0.48	2.36	1.55	3.7
PH01000002G0150	1.48	1.38	1.55	0.92	6.41
PH01000002G0160	4.49	5.28	1.41	5.13	3.87
PH01000002G0230	12.78	1.33	0.23	2.06	0.15
PH01000002G0240	4.09	1.82	4.91	3.29	6.33
PH01000002G0310	39.4	19.73	41.16	19.96	62.5
PH01000002G0320	45	74.97	57.35	40.47	178.5
PH01000002G0360	2.31	1.32	2.46	1.85	2.68
PH01000002G0430	0.57	1.1	1.58	1.35	1.29
PH01000002G0490	0.06	0.27	0.3	0.23	0.11
PH01000002G0640	20.94	14.1	42.83	9.89	22.34
PH01000002G0720	0.16	0.7	0.45	3.92	0.31
PH01000002G0760	2.75	1.22	6.33	6.99	5.33
PH01000002G0790	0.55	0.51	0.26	0.37	0.14
PH01000002G0950	2.4	3.4	3.75	4.25	5.18
PH01000002G1150	1.03	0.36	2.71	0.63	2.62
PH01000002G1250	3.97	3.57	4.8	3.88	1.95
PH01000002G1270	43.28	42.84	36.6	34.58	33.82
PH01000002G1400	4.17	1.34	3.94	3.29	1.42
PH01000002G1550	0.96	0.22	0.09	0.12	0
PH01000002G1570	16.85	9.4	7.14	8.78	5.81
PH01000002G1660	23.57	13.45	24.34	50	30
PH01000002G1670	1.75	0.64	1.06	0	2.57
PH01000002G1820	0.84	0.38	0.5	0.79	1.7
PH01000002G1850	29.64	26.22	26.24	12.88	15.38
PH01000002G1960	1.75	1.02	2.98	3.26	2.89
PH01000002G2090	18.73	26.48	18.73	14.23	28.91
PH01000002G2210	27.18	13.73	22.01	43.59	10.91
PH01000002G2300	6.67	12.63	9.76	12.27	3.3
PH01000002G2380	2.32	3.12	5.86	2.39	5.36
PH01000002G2470	15.69	21.52	12.79	19.09	26.33
PH01000002G2500	19.61	13.57	19.12	7.16	11.16
PH01000002G2510	7.64	3.34	5.4	3.85	9
PH01000002G2620	3.18	1.6	1.13	2.95	4.02
PH01000002G2660	9.1	2.22	9.05	16.78	6.19
PH01000002G2670	8.7	2.38	0.76	16.3	3.58
PH01000002G2710	2.35	1.9	1.93	1.3	1.24
PH01000002G2720	1.6	1.64	2.13	4.25	2.7
PH01000002G2740	4.11	8.84	7.55	2.95	10.46
PH01000002G2770	2.05	1.71	2.05	1.79	1.32
PH01000002G2790	24.15	9.98	37.19	38.89	68.43
PH01000002G2800	11.28	4.52	6.63	8.08	21.17
PH01000002G2830	35.55	14.37	32.59	30.43	125.16
PH01000002G2840	2.35	0.84	3.25	5.18	26.07
PH01000002G2860	0.42	1.72	3.54	0.97	1.65
PH01000002G2920	1.57	1.17	0.96	1.94	0.9
PH01000002G2930	14.5	10.53	8.09	7.12	1.86
PH01000002G2980	7.54	1.93	1.79	6.57	3.44
PH01000002G3050	1.62	0.81	0.8	1.64	0.63
PH01000002G3060	14.23	9.28	5.83	10.28	14.37
PH01000002G3110	7.55	17.93	27.48	35.24	38.65
PH01000002G3170	8.52	11.25	19.77	13.98	19.07
PH01000002G3240	3.15	2.13	3.5	5.26	8.15
PH01000002G3260	11.19	6.18	1.76	4.37	3.29
PH01000002G3290	4.66	3.74	2.89	5.1	2.95
PH01000002G3370	1.01	0.95	1.04	1.58	2.2
PH01000002G3460	2.5	1.64	2.62	2.3	3.19
PH01000002G3470	9.48	9.98	15.44	18.16	7.06
PH01000002G3590	0.49	0.75	0.52	0.21	0.71
PH01000002G3730	0.2	1.26	0.83	2.48	1.92
PH01000002G3860	1.96	4.08	3.39	11.52	24.3
PH01000002G3900	27.48	5.43	22.43	26.89	3.54
PH01000002G3910	1.53	1.92	4.44	4.06	0.85
PH01000002G3920	1.51	2.24	3.33	2.14	1.74
PH01000002G3940	3.37	3.12	3.94	2.07	7.27
PH01000002G3950	0.58	1.16	1.42	0.27	1.25
PH01000002G3990	3.67	6.37	6.22	5.55	11.94
PH01000002G4080	1.65	2.61	2.2	2.11	1.7
PH01000002G4150	24.32	8.29	3.92	37.5	3.18
PH01000002G4240	2.75	2	4.39	3.26	5.03
PH01000002G4250	11.15	18.63	27.45	22.87	9.7
PH01000002G4280	12.41	12.19	13.97	9.45	4.26
PH01000002G4340	14.9	5.41	33.23	40.46	13.58
PH01000003G0060	48.99	117.01	219.13	212.75	304.24
PH01000003G0100	0.32	0.18	0.22	2.12	0.62
PH01000003G0190	1.25	1.23	2.52	2.59	3.56
PH01000003G0200	0.95	0.76	2.3	0.91	1.12
PH01000003G0390	48	12.46	64.69	16.02	15.01
PH01000003G0400	125.96	35.43	133.65	35.92	39.36
PH01000003G0410	3.29	0.5	1.86	2.48	1.42
PH01000003G0420	10.41	8.88	9.51	8.68	16.45
PH01000003G0430	5.4	1.73	8.01	1.83	1.11
PH01000003G0470	6.71	2.85	1.94	1.48	0.52
PH01000003G0570	0.45	0.91	0.68	1.23	1.07
PH01000003G0620	5.66	4.15	4.45	6.18	4.96
PH01000003G0730	7.79	6.39	2.1	8.75	9.24
PH01000003G0760	4	3.31	0.9	1.73	0.67
PH01000003G0780	12.68	11.44	5.32	22.41	15.73
PH01000003G0790	4.84	3.73	17.42	10.7	21.26
PH01000003G0810	1.23	2.02	1.73	0.59	0.01
PH01000003G0840	72.61	37.3	126.34	31.12	57.11
PH01000003G0860	0.65	1.46	1.41	0.74	0.73
PH01000003G0870	9.3	3.52	1.31	2.84	0.45
PH01000003G0910	16.74	3.58	1.39	4.77	2.7
PH01000003G0960	2.67	1.54	2.48	2.55	4.34
PH01000003G1050	3.84	2.78	4.93	5.96	7.04
PH01000003G1230	0.11	0.58	2.68	0.95	2.5
PH01000003G1440	13.77	6.46	7.08	1.33	1.3
PH01000003G1590	2.28	3.23	1.5	10.95	0.66
PH01000003G1660	125.2	24.13	2.05	24.3	1.56
PH01000003G1680	1.1	0.26	0.79	0.34	0.29
PH01000003G1780	10.42	11.39	1.03	6.14	2.63
PH01000003G1880	84.39	63.11	23.81	46.38	40.69
PH01000003G2020	1.73	1.34	1.84	1.47	2.64
PH01000003G2040	1.69	2.09	4.59	7.46	7.26
PH01000003G2120	10.38	3.77	21.72	12.15	53.52
PH01000003G2320	14.32	32.25	46.86	30.09	26.48
PH01000003G2490	21.39	13.45	5.18	11.52	1.23
PH01000003G2570	2.8	3.63	5.23	1.86	4.15
PH01000003G2600	4.01	3.78	1.34	13.71	4.97
PH01000003G2650	2.56	4.26	5.9	3.19	4.77
PH01000003G2710	6.69	6.63	9.7	20.95	10.36
PH01000003G2770	2.07	1.4	2.35	1.27	5.94
PH01000003G3040	0.46	0.24	0.36	0.22	0
PH01000003G3120	0.42	0.15	0.39	0.05	0
PH01000003G3180	23.25	11.5	12.94	36.6	14.51
PH01000003G3390	12.51	3.05	0.66	1.63	0.92
PH01000003G3550	5.54	5.48	7.6	4.89	8.2
PH01000003G3560	2.55	0.34	1.9	2.33	1.57
