PH_ID	OS_ID
PH01000000G0240	OS04G0586700
PH01000000G0290	OS04G0586100
PH01000000G0330	OS04G0586100
PH01000000G0350	OS04G0586000
PH01000000G0410	OS04G0585700
PH01000000G0480	OS04G0585600
PH01000000G0500	OS12G0150200
PH01000000G0540	OS03G0114800
PH01000000G0550	OS04G0585400
PH01000000G0560	OS04G0585300
PH01000000G0600	OS04G0585100
PH01000000G0670	OS02G0686100
PH01000000G0700	OS04G0584900
PH01000000G0710	OS04G0584800
PH01000000G0720	OS04G0584700
PH01000000G0800	OS02G0685600
PH01000000G0910	OS04G0583900
PH01000000G0920	OS04G0414300
PH01000000G0960	OS10G0539500
PH01000000G0970	OS04G0583500
PH01000000G0980	OS02G0684400
PH01000000G1020	OS04G0583101
PH01000000G1160	OS04G0581400
PH01000000G1200	OS04G0581300
PH01000000G1220	OS01G0649000
PH01000000G1330	OS04G0581000
PH01000000G1400	OS04G0581000
PH01000000G1500	OS10G0536000
PH01000000G1660	OS04G0580300
PH01000000G1710	OS04G0579700
PH01000000G1840	OS01G0788500
PH01000000G1880	OS01G0720800
PH01000000G1990	OS04G0578800
PH01000000G2000	OS04G0578700
PH01000000G2050	OS04G0578400
PH01000000G2070	OS04G0578300
PH01000000G2120	OS04G0578000
PH01000000G2180	OS04G0577700
PH01000000G2190	OS04G0577500
PH01000000G2220	OS04G0577200
PH01000000G2240	OS04G0577200
PH01000000G2260	OS04G0577000
PH01000000G2270	OS04G0576900
PH01000000G2350	OS04G0574600
PH01000000G2440	OS04G0574200
PH01000000G2470	OS04G0574100
PH01000000G2540	OS06G0342000
PH01000000G2620	OS04G0573300
PH01000000G2700	OS04G0573000
PH01000000G2740	OS02G0200800
PH01000000G2820	OS03G0667700
PH01000000G2960	OS09G0556400
PH01000000G2970	OS02G0281000
PH01000000G3110	OS04G0571600
PH01000000G3250	OS04G0571200
PH01000000G3310	OS04G0570800
PH01000000G3540	OS04G0569400
PH01000000G3550	OS04G0569300
PH01000000G3700	OS04G0568900
PH01000000G3760	OS04G0568850
PH01000000G3800	OS04G0568700
PH01000000G3890	OS04G0568400
PH01000000G4160	OS04G0567800
PH01000000G4340	OS04G0566900
PH01000000G4350	OS04G0501700
PH01000000G4360	OS04G0566800
PH01000000G4400	OS02G0672500
PH01000000G4410	OS04G0566600
PH01000000G4500	OS04G0566500
PH01000000G4530	OS04G0566400
PH01000000G4660	OS04G0566100
PH01000000G4700	OS04G0566000
PH01000000G4870	OS04G0565500
PH01000000G4910	OS04G0564700
PH01000000G4920	OS04G0564600
PH01000000G4930	OS04G0564500
PH01000000G5090	OS07G0193800
PH01000000G5110	OS04G0563801
PH01000000G5130	OS04G0563801
PH01000000G5190	OS02G0807000
PH01000000G5200	OS03G0601100
PH01000000G5370	OS04G0563100
PH01000000G5430	OS04G0563000
PH01000000G5490	OS04G0562800
PH01000000G5570	OS04G0562500
PH01000000G5630	OS04G0523350
PH01000000G5690	OS04G0561700
PH01000000G5700	OS04G0561600
PH01000000G5710	OS04G0561500
PH01000000G5760	OS04G0560700
PH01000000G5850	OS04G0560600
PH01000000G5860	OS04G0560500
PH01000000G5980	OS04G0559800
PH01000000G6020	OS02G0666200
PH01000000G6090	OS04G0559200
PH01000000G6400	OS04G0558700
PH01000000G6460	OS04G0558500
PH01000000G6470	OS04G0558400
PH01000000G6760	OS11G0296800
PH01000000G7010	OS04G0565200
PH01000000G7040	OS10G0572900
PH01000000G7050	OS04G0556300
PH01000000G7120	OS04G0555800
PH01000000G7190	OS04G0555600
PH01000000G7210	OS04G0555500
PH01000000G7300	OS04G0555300
PH01000000G7320	OS04G0555300
PH01000000G7400	OS04G0555000
PH01000000G7460	OS04G0554800
PH01000001G0110	OS04G0542000
PH01000001G0130	OS05G0190500
PH01000001G0140	OS04G0541900
PH01000001G0190	OS04G0541700
PH01000001G0200	OS04G0541500
PH01000001G0390	OS02G0104500
PH01000001G0500	OS04G0541100
PH01000001G0670	OS04G0540900
PH01000001G0700	OS04G0540600
PH01000001G0710	OS04G0540600
PH01000001G0720	OS10G0516200
PH01000001G0800	OS04G0539800
PH01000001G0820	OS04G0539500
PH01000001G0880	OS04G0221000
PH01000001G0950	OS04G0538800
PH01000001G1270	OS04G0537900
PH01000001G1290	OS04G0537900
PH01000001G1300	OS04G0537800
PH01000001G1450	OS04G0537100
PH01000001G1650	OS04G0536300
PH01000001G1780	OS04G0534500
PH01000001G1810	OS04G0534400
PH01000001G1870	OS04G0683600
PH01000001G1880	OS02G0642700
PH01000001G1960	OS04G0533900
PH01000001G2010	OS04G0533500
PH01000001G2030	OS04G0533300
PH01000001G2110	OS04G0533000
PH01000001G2130	OS04G0532800
PH01000001G2300	OS04G0531900
PH01000001G2310	OS04G0532100
PH01000001G2410	OS04G0531100
PH01000001G2510	OS04G0530900
PH01000001G2560	OS04G0530700
PH01000001G2570	OS04G0530600
PH01000001G2580	OS04G0530500
PH01000001G2590	OS04G0530400
PH01000001G2600	OS04G0530300
PH01000001G2610	OS04G0530200
PH01000001G2640	OS02G0639600
PH01000001G2800	OS04G0678300
PH01000001G2850	OS04G0528800
PH01000001G2860	OS04G0528600
PH01000001G2870	OS04G0528300
PH01000001G2930	OS02G0146400
PH01000001G2940	OS04G0528100
PH01000001G3120	OS04G0527500
PH01000001G3180	OS04G0527400
PH01000001G3190	OS04G0527400
PH01000001G3200	OS01G0147800
PH01000001G3260	OS04G0527000
PH01000001G3290	OS04G0526800
PH01000001G3350	OS02G0780600
PH01000001G3420	OS04G0526000
PH01000001G3470	OS04G0525900
PH01000001G3500	OS04G0525900
PH01000001G3600	OS04G0525800
PH01000001G3620	OS02G0634700
PH01000001G3650	OS04G0525600
PH01000001G4030	OS05G0135100
PH01000001G4050	OS04G0524400
PH01000001G4440	OS02G0631601
PH01000001G4450	OS02G0631500
PH01000001G4480	OS04G0523100
PH01000001G4490	OS04G0523000
PH01000001G4520	OS02G0631000
PH01000001G4680	OS04G0520900
PH01000001G4970	OS02G0628600
PH01000001G4990	OS06G0506100
PH01000001G5000	OS02G0628200
PH01000001G5130	OS04G0518400
PH01000001G5360	OS02G0625300
PH01000002G0050	OS01G0916600
PH01000002G0130	OS01G0916800
PH01000002G0150	OS01G0917200
PH01000002G0160	OS05G0586300
PH01000002G0230	OS01G0917500
PH01000002G0240	OS03G0847900
PH01000002G0310	OS01G0918300
PH01000002G0320	OS01G0918300
PH01000002G0360	OS02G0770100
PH01000002G0430	OS09G0309100
PH01000002G0490	OS08G0301500
PH01000002G0640	OS01G0919500
PH01000002G0720	OS01G0919600
PH01000002G0760	OS01G0919900
PH01000002G0790	OS01G0920000
PH01000002G0950	OS01G0920400
PH01000002G1150	OS01G0921200
PH01000002G1250	OS04G0382200
PH01000002G1270	OS01G0921600
PH01000002G1400	OS01G0921800
PH01000002G1550	OS07G0210000
PH01000002G1570	OS01G0922100
PH01000002G1660	OS01G0922600
PH01000002G1670	OS01G0922700
PH01000002G1820	OS10G0479500
