PH_ID	IRGSP_best_BLAST_hit	description
PH01000000G0240	Os04t0586700-01	zinc finger, C3HC4 type domain containing protein, expressed
PH01000000G0290	Os04t0586100-01	DUF581 domain containing protein, expressed
PH01000000G0330	Os04t0586100-01	DUF581 domain containing protein
PH01000000G0350	Os04t0586000-00	DUF581 domain containing protein, expressed
PH01000000G0410	Os04t0585700-01	DUF581 domain containing protein, expressed
PH01000000G0480	Os04t0585600-01	expressed_protein
PH01000000G0500	Os12t0150200-01	cytochrome P450, putative, expressed
PH01000000G0540	Os03t0114800-01	major facilitator superfamily domain-containing protein 5, putative, expressed
PH01000000G0550	Os04t0585400-01	regulatory protein, putative, expressed
PH01000000G0560	Os04t0585300-01	nucleolar complex protein, putative, expressed
PH01000000G0600	Os04t0585100-01	zinc finger family protein, putative, expressed
PH01000000G0670	Os02t0686100-00	RING-H2 finger protein ATL2A, putative, expressed
PH01000000G0700	Os04t0584900-01	expressed_protein
PH01000000G0710	Os04t0584800-01	expressed_protein
PH01000000G0720	Os04t0584700-01	pentatricopeptide repeat protein PPR868-14, putative, expressed
PH01000000G0800	Os02t0685600-01	protein phosphatase 2C, putative, expressed
PH01000000G0910	Os04t0583900-01	MYB family transcription factor, putative, expressed
PH01000000G0920	Os04t0414300-00	RNA recognition motif containing protein, putative, expressed
PH01000000G0960	Os10t0539500-01	Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed
PH01000000G0970	Os04t0583500-01	expansin precursor, putative, expressed
PH01000000G0980	Os02t0684400-01	expressed_protein
PH01000000G1020	Os04t0583101-01	PPR repeat domain containing protein, putative, expressed
PH01000000G1160	Os04t0581400-01	B3 DNA binding domain containing protein, expressed
PH01000000G1200	Os04t0581300-01	mitochondrial import inner membrane translocase subunit Tim, putative, expressed
PH01000000G1220	Os01t0649000-01	mitochondrial import inner membrane translocase subunit Tim, putative, expressed
PH01000000G1330	Os04t0581000-01	naringenin,2-oxoglutarate 3-dioxygenase, putative, expressed
PH01000000G1400	Os04t0581000-01	naringenin,2-oxoglutarate 3-dioxygenase, putative, expressed
PH01000000G1500	Os10t0536000-02	ubiquitin-conjugating enzyme, putative, expressed
PH01000000G1660	Os04t0580300-01	GRAS family transcription factor domain containing protein, expressed
PH01000000G1710	Os04t0579700-01	H-BTB3 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed
PH01000000G1840	Os01t0788500-01	NB-ARC/LRR disease resistance protein, putative, expressed
PH01000000G1880	Os01t0720800-01	NB-ARC domain containing protein, expressed
PH01000000G1990	Os04t0578800-02	fringe-related protein, putative, expressed
PH01000000G2000	Os04t0578700-01	uncharacterized mscS family protein, putative, expressed
PH01000000G2050	Os04t0578400-01	fatty acid hydroxylase, putative, expressed
PH01000000G2070	Os04t0578300-00	nitrilase-associated protein, putative, expressed
PH01000000G2120	Os04t0578000-01	aminotransferase, classes I and II, domain containing protein, expressed
PH01000000G2180	Os04t0577700-01	DUF623 domain containing protein, expressed
PH01000000G2190	Os04t0577500-02	deoxyribonuclease tatD, putative, expressed
PH01000000G2220	Os04t0577200-01	rhoGAP domain containing protein, expressed
PH01000000G2240	Os04t0577200-01	rhoGAP domain containing protein, expressed
PH01000000G2260	Os04t0577000-01	ubiquitin fusion degradation protein, putative, expressed
PH01000000G2270	Os04t0576900-01	leucine-rich repeat family protein, putative, expressed
PH01000000G2350	Os04t0574600-01	ZOS4-12 - C2H2 zinc finger protein, expressed
PH01000000G2440	Os04t0574200-01	fasciclin-like arabinogalactan protein, putative, expressed
PH01000000G2470	Os04t0574100-03	exostosin family domain containing protein, expressed
